"Dataset ID","Curation ID","Normalization","Include","Dataset Acronym","Platform","PMID","Date Publication"
"ISDB10228",23042,"ORIGINAL","TRUE","NKI2",,"11823860///12490681","2002-12-19"
"ISDB10838",23051,"ORIGINAL","TRUE","KOO",,12747878,"2003-05-10"
"ISDB10847",23038,"ORIGINAL","TRUE","STNO2",,12829800,"2003-07-08"
"ISDB10848",23037,"ORIGINAL","TRUE","NCI",,12917485,"2003-09-02"
"ISDB10839",23056,"ORIGINAL","TRUE","UCSF",,14612510,"2003-11-01"
"ISDB10840",23054,"ORIGINAL","FALSE","MGH",,15193263,"2004-06-01"
"GSE2109",23324,"FRMA","TRUE","EXPO",,"NA","2005-01-15"
"GSE2034",22068,"FRMA","TRUE","VDX",,"15721472","2005-02-19"
"GSE1561",22348,"FRMA","TRUE","EORTC10994",,"15897907","2005-05-09"
"GSE2603",24970,"FRMA","TRUE","MSKCC",,"16049480","2005-07-28"
"GSE3494",22072,"FRMA","FALSE","UPP",,"16141321","2005-09-20"
"GSE1456",22070,"FRMA","FALSE","STK",,"16280042","2005-10-03"
"GSE3744",22064,"FRMA","TRUE","DFHCC3",,"16473279","2006-02-01"
"GSE6532",,"FRMA","FALSE","UNT",,"17401012","2006-02-15"
"GSE5327",23204,"FRMA","TRUE","VDXN",,"17420468","2007-02-07"
"ISDB10841",23052,"ORIGINAL","TRUE","NCH",,16936776,"2007-03-01"
"ISDB10846",23041,"ORIGINAL","TRUE","LUND2",,17452630,"2007-03-16"
"GSE5460",22063,"FRMA","TRUE","IRB",,"18297396","2007-05-22"
"GSE7390",22071,"FRMA","TRUE","TRANSBIG",,"17545524","2007-06-01"
"ISDB10826",23046,"ORIGINAL","FALSE","FNCLCC",,17659439,"2007-06-21"
"ISDB10824",23035,"ORIGINAL","TRUE","DUKE",,18024211,"2007-11-19"
"ISDB10827",23049,"ORIGINAL","FALSE","TAM2",,18347175,"2007-12-11"
"ISDB12307",25184,"ORIGINAL","FALSE","UBC","QRT-PCR",19204204,"2008-02-09"
"ISDB10843",23047,"ORIGINAL","TRUE","LUND",,18430221,"2008-04-22"
"GSE9195",22352,"FRMA","FALSE","TAM",,"18498629","2008-05-22"
"ISDB10825",23044,"ORIGINAL","TRUE","MUG",,18592372,"2008-06-12"
"GSE11121",22073,"FRMA","TRUE","MAINZ",,"18593943","2008-07-01"
"GSE5364",24969,"ORIGINAL","TRUE","NCCS",,"18636107","2008-08-18"
"GSE12093",22069,"FRMA","FALSE","VDX3",,"18821012","2008-09-01"
"GSE12276",22059,"FRMA","TRUE","EMC2",,"19421193","2009-06-18"
"ISDB10842",23050,"ORIGINAL","TRUE","HLP",,19688261,"2009-08-18"
"ISDB10849",23036,"ORIGINAL","TRUE","MCCC",,19960244,"2009-12-04"
"GSE19615",22062,"FRMA","TRUE","DFHCC",,"20098429","2010-01-24"
"GSE18864",22066,"FRMA","TRUE","DFHCC2",,"20100965","2010-01-25"
"GSE20194",22349,"FRMA","FALSE","MAQC",,"20676074","2010-07-30"
"GSE17705",22067,"FRMA","FALSE","MDA5",,"20697068","2010-08-08"
"ISDB10845",23043,"ORIGINAL","TRUE","UNC4",,20813035,"2010-09-02"
"ISDB12302",24890,"ORIGINAL","FALSE","UBC2","QRT-PCR",20837693,"2010-09-13"
"GSE22035",22351,"ORIGINAL","TRUE","RH3",,"21209903","2010-12-30"
"GSE16446",22061,"FRMA","FALSE","TOP",,"21422418","2011-04-20"
"GSE25066",,"FRMA","FALSE","MDA7",,21558518,"2011-05-10"
"GSE20711",24971,"FRMA","TRUE","PNC",,"21910250","2011-09-12"
"GSE26971",,"FRMA","FALSE","TAM3",,"21807638","2011-09-15"
"ISDB10278",25010,"ORIGINAL","TRUE","METABRIC",,22522925,"2012-04-18"
"TCGA",,"ORIGINAL","FALSE","TCGA",,23000897,"2012-09-23"
